codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_tipo_icao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_horario,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista,ocorrencia_dia_extracao,ocorrencia_datahora,ocorrencia_datahora
201002214011247,INCIDENTE GRAVE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA,ARC,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2010-02-21,17:00:00,NULL,FINALIZADA,IG-052/CENIPA/2011,SIM,2011-08-01,1,1,NÃO,2019-01-30,2010/02/21 17:00,2010/02/21 17:00
201109155790590,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-09-15,11:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/09/15 11:30,2011/09/15 11:30
201103274169638,INCIDENTE,DESCOMPRESSÃO NÃO INTENCIONAL / EXPLOSIVA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-03-27,15:01:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/03/27 15:01,2011/03/27 15:01
201102148574522,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2011-02-14,14:45:00,NULL,FINALIZADA,IG-522/CENIPA/2015,SIM,2015-06-06,0,1,NÃO,2019-01-30,2011/02/14 14:45,2011/02/14 14:45
201103031647981,INCIDENTE,FALHA ESTRUTURAL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-03-03,21:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/03/03 21:00,2011/03/03 21:00
201007199377105,ACIDENTE,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-15.8539,-47.8064,BRASÍLIA,DF,BRASIL,****,2010-07-19,18:30:00,NULL,FINALIZADA,A-037/CENIPA/2011,SIM,2011-07-21,1,1,NÃO,2019-01-30,2010/07/19 18:30,2010/07/19 18:30
201103303237682,INCIDENTE GRAVE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2011-03-30,20:25:00,NULL,ATIVA,IG-523/CENIPA/2018,NÃO,NULL,0,1,SIM,2019-01-30,2011/03/30 20:25,2011/03/30 20:25
201102065140201,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-02-06,18:40:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/02/06 18:40,2011/02/06 18:40
201108277638802,ACIDENTE,OUTROS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-08-27,21:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/08/27 21:00,2011/08/27 21:00
201112141688342,INCIDENTE,FALHA DO MOTOR NO SOLO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-12-14,16:55:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/12/14 16:55,2011/12/14 16:55
201107201724597,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-07-20,20:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/07/20 20:00,2011/07/20 20:00
200812059260763,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2008-12-05,09:55:00,NULL,FINALIZADA,IG-078/CENIPA/2011,SIM,2011-09-23,15,1,NÃO,2019-01-30,2008/12/05 09:55,2008/12/05 09:55
201107192944291,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.8692,-47.9208,BRASÍLIA,DF,BRASIL,SBBR,2011-07-19,20:50:00,NULL,FINALIZADA,IG-505/CENIPA/2015,SIM,2015-04-15,0,1,NÃO,2019-01-30,2011/07/19 20:50,2011/07/19 20:50
201104177243388,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-04-17,16:59:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/04/17 16:59,2011/04/17 16:59
201102194194951,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-02-19,13:36:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/02/19 13:36,2011/02/19 13:36
201105185856144,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-05-18,21:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/05/18 21:30,2011/05/18 21:30
201105235453158,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,SBBR,2011-05-23,23:47:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/05/23 23:47,2011/05/23 23:47
201105167612999,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-05-16,12:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/05/16 12:00,2011/05/16 12:00
201105037312137,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,OUTROS,OTHR,-15.7941,-47.8879,BRASÍLIA,DF,BRASIL,****,2011-05-03,14:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/05/03 14:00,2011/05/03 14:00
201111275319058,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-19.2669,-52.8117,ÁGUA CLARA,MS,BRASIL,****,2011-11-27,10:10:00,NULL,FINALIZADA,A-534/CENIPA/2015,SIM,2015-07-14,0,1,NÃO,2019-01-30,2011/11/27 10:10,2011/11/27 10:10
201105014916768,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-19.2467,-53.1689,ÁGUA CLARA,MS,BRASIL,****,2011-05-01,11:45:00,NULL,FINALIZADA,A-090/CENIPA/2011,SIM,2011-09-23,6,1,NÃO,2019-01-30,2011/05/01 11:45,2011/05/01 11:45
201003109259061,INCIDENTE GRAVE,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-9.8692,-67.8939,CRUZEIRO DO SUL,AC,BRASIL,SBCZ,2010-03-10,06:17:00,NULL,FINALIZADA,IG-131/CENIPA/2011,SIM,2011-12-21,3,1,SIM,2019-01-30,2010/03/10 06:17,2010/03/10 06:17
201107127555911,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-8.7936,-63.8581,PORTO VELHO,RO,BRASIL,SWRO,2011-07-12,21:20:00,NULL,FINALIZADA,A-019/CENIPA/2014,SIM,2014-06-02,2,1,NÃO,2019-01-30,2011/07/12 21:20,2011/07/12 21:20
201108108913400,INCIDENTE,OUTROS,OUTROS,OTHR,-9.8717,-56.0916,ALTA FLORESTA,MT,BRASIL,****,2011-08-10,16:54:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/08/10 16:54,2011/08/10 16:54
200905166901091,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-0.8333,-52.0525,LARANJAL DO JARI,AP,BRASIL,****,2009-05-16,13:30:00,NULL,FINALIZADA,A-080/CENIPA/2011,SIM,2011-09-23,1,1,NÃO,2019-01-30,2009/05/16 13:30,2009/05/16 13:30
201007242033622,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-0.3061,-50.3942,AFUÁ,PA,BRASIL,****,2010-07-24,10:15:00,NULL,FINALIZADA,A-084/CENIPA/2011,SIM,2011-09-23,6,1,NÃO,2019-01-30,2010/07/24 10:15,2010/07/24 10:15
201106129252256,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-10.9072,-37.0482,ARACAJU,SE,BRASIL,SBAR,2011-06-12,03:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/06/12 03:00,2011/06/12 03:00
201104304755631,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,-10.9072,-37.0482,ARACAJU,SE,BRASIL,****,2011-04-30,11:03:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/04/30 11:03,2011/04/30 11:03
201103186943997,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-10.9033,-37.0831,ARACAJU,SE,BRASIL,****,2011-03-18,20:00:00,NULL,ATIVA,A-590/CENIPA/2016,NÃO,NULL,0,1,NÃO,2019-01-30,2011/03/18 20:00,2011/03/18 20:00
201104136824816,INCIDENTE,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA,ARC,-10.9072,-37.0482,ARACAJU,SE,BRASIL,SBAR,2011-04-13,15:33:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/04/13 15:33,2011/04/13 15:33
201103072648610,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-8.9322,-72.7811,MARECHAL THAUMATURGO,AC,BRASIL,****,2011-03-07,17:35:00,NULL,FINALIZADA,A-025/CENIPA/2011,SIM,2011-06-30,2,1,NÃO,2019-01-30,2011/03/07 17:35,2011/03/07 17:35
201107078009631,INCIDENTE,OUTROS,OUTROS,OTHR,-9.9783,-67.8105,RIO BRANCO,AC,BRASIL,****,2011-07-07,21:25:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/07/07 21:25,2011/07/07 21:25
201101203275079,INCIDENTE,OUTROS,OUTROS,OTHR,-9.9783,-67.8105,RIO BRANCO,AC,BRASIL,****,2011-01-20,17:58:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/01/20 17:58,2011/01/20 17:58
201108011641532,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-9.9783,-67.8105,RIO BRANCO,AC,BRASIL,****,2011-08-01,15:56:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/08/01 15:56,2011/08/01 15:56
201101213559955,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-9.8803,-67.9178,RIO BRANCO,AC,BRASIL,****,2011-01-21,17:35:00,NULL,FINALIZADA,A-004/CENIPA/2013,SIM,2013-03-28,8,1,NÃO,2019-01-30,2011/01/21 17:35,2011/01/21 17:35
201101258281876,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,-16.8550,-53.8461,ALTO GARÇAS,MT,BRASIL,SWDC,2011-01-25,14:40:00,NULL,FINALIZADA,A-023/CENIPA/2011,SIM,2011-06-30,3,1,SIM,2019-01-30,2011/01/25 14:40,2011/01/25 14:40
201112057447243,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,OUTROS,OTHR,-10.0619,-67.5686,SENADOR GUIOMARD,AC,BRASIL,****,2011-12-05,19:00:00,NULL,ATIVA,IG-568/CENIPA/2016,NÃO,NULL,0,1,NÃO,2019-01-30,2011/12/05 19:00,2011/12/05 19:00
201102214231103,ACIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-3.2508,-52.2522,ALTAMIRA,PA,BRASIL,SBHT,2011-02-21,21:45:00,NULL,FINALIZADA,A-012/CENIPA/2013,SIM,2013-11-29,6,1,SIM,2019-01-30,2011/02/21 21:45,2011/02/21 21:45
201106185268515,INCIDENTE GRAVE,POUSO LONGO,EXCURSÃO DE PISTA,RE,-19.8264,-40.7389,ARACRUZ,ES,BRASIL,****,2011-06-18,09:10:00,NULL,ATIVA,IG-551/CENIPA/2016,NÃO,NULL,0,1,SIM,2019-01-30,2011/06/18 09:10,2011/06/18 09:10
201106222134686,INCIDENTE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-8.1557,-70.7555,TARAUACÁ,AC,BRASIL,SBTK,2011-06-22,16:55:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/06/22 16:55,2011/06/22 16:55
201107159327967,INCIDENTE,POUSO EM LOCAL NÃO PREVISTO,OUTROS,OTHR,-22.8808,-42.0201,CABO FRIO,RJ,BRASIL,****,2011-07-15,16:48:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/07/15 16:48,2011/07/15 16:48
201109017764945,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-22.8808,-42.0201,CABO FRIO,RJ,BRASIL,SBCB,2011-09-01,13:10:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/09/01 13:10,2011/09/01 13:10
201106283934197,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-22.8808,-42.0201,CABO FRIO,RJ,BRASIL,****,2011-06-28,11:58:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/06/28 11:58,2011/06/28 11:58
201003192825797,ACIDENTE,POUSO LONGO,EXCURSÃO DE PISTA,RE,-4.5881,-60.1722,UIRAMUTÃ,RR,BRASIL,****,2010-03-19,13:10:00,NULL,FINALIZADA,A-034/CENIPA/2011,SIM,2011-07-21,3,1,SIM,2019-01-30,2010/03/19 13:10,2010/03/19 13:10
201105243583431,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,-22.0747,-54.0081,ANGÉLICA,MS,BRASIL,****,2011-05-24,09:45:00,NULL,ATIVA,A DEFINIR,NÃO,NULL,0,1,NÃO,2019-01-30,2011/05/24 09:45,2011/05/24 09:45
201001093512754,INCIDENTE GRAVE,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-6.5319,-64.3806,CANUTAMA,AM,BRASIL,****,2010-01-09,12:30:00,NULL,FINALIZADA,IG-028/CENIPA/2011,SIM,2011-07-21,3,1,NÃO,2019-01-30,2010/01/09 12:30,2010/01/09 12:30
201112292504143,ACIDENTE,COM ROTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-3.8889,-38.3581,AQUIRAZ,CE,BRASIL,****,2011-12-29,12:00:00,NULL,FINALIZADA,A-545/CENIPA/2016,SIM,2017-06-22,0,1,NÃO,2019-01-30,2011/12/29 12:00,2011/12/29 12:00
201110098818912,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-4.8786,-66.8956,CARAUARI,AM,BRASIL,SWCA,2011-10-09,19:35:00,NULL,FINALIZADA,A-046/CENIPA/2013,SIM,2016-03-18,1,1,NÃO,2019-01-30,2011/10/09 19:35,2011/10/09 19:35
201111271480512,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-4.8786,-66.8956,CARAUARI,AM,BRASIL,****,2011-11-27,13:40:00,NULL,FINALIZADA,IG-548/CENIPA/2016,SIM,2017-05-02,1,1,NÃO,2019-01-30,2011/11/27 13:40,2011/11/27 13:40
201108081240373,INCIDENTE,OUTROS,OUTROS,OTHR,-4.8817,-66.8966,CARAUARI,AM,BRASIL,****,2011-08-08,16:40:00,NULL,FINALIZADA,***,NÃO,NULL,3,1,NÃO,2019-01-30,2011/08/08 16:40,2011/08/08 16:40
201108036495752,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-08-03,11:48:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/08/03 11:48,2011/08/03 11:48
201107152342941,INCIDENTE,POUSO EM LOCAL NÃO PREVISTO,OUTROS,OTHR,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-07-15,09:21:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/07/15 09:21,2011/07/15 09:21
201108048455295,INCIDENTE,POUSO EM LOCAL NÃO PREVISTO,OUTROS,OTHR,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-08-04,12:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/08/04 12:30,2011/08/04 12:30
201101101394601,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-01-10,18:18:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/01/10 18:18,2011/01/10 18:18
201112194892128,INCIDENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE ,SCF-NP,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-12-19,10:50:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/12/19 10:50,2011/12/19 10:50
201103261671856,INCIDENTE,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO,MAC,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,SBCP,2011-03-26,17:39:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/03/26 17:39,2011/03/26 17:39
201102168388846,INCIDENTE,F.O.D.,OUTROS,OTHR,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-02-16,14:50:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/02/16 14:50,2011/02/16 14:50
201104014547954,INCIDENTE,POUSO EM LOCAL NÃO PREVISTO,OUTROS,OTHR,-21.7519,-41.3305,CAMPOS DOS GOYTACAZES,RJ,BRASIL,****,2011-04-01,12:27:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/04/01 12:27,2011/04/01 12:27
201111128418971,ACIDENTE,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,OUTROS,OTHR,-19.4920,-41.0733,AIMORÉS,MG,BRASIL,****,2011-11-12,21:30:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/11/12 21:30,2011/11/12 21:30
201108255613315,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-16.3667,-48.9000,ANÁPOLIS,GO,BRASIL,****,2011-08-25,18:30:00,NULL,FINALIZADA,A-509/CENIPA/2014,SIM,2015-03-20,1,1,NÃO,2019-01-30,2011/08/25 18:30,2011/08/25 18:30
201109293074035,INCIDENTE GRAVE,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,-16.3288,-48.9572,ANÁPOLIS,GO,BRASIL,SWNS,2011-09-29,20:00:00,NULL,FINALIZADA,***,NÃO,NULL,0,1,NÃO,2019-01-30,2011/09/29 20:00,2011/09/29 20:00
201003264949508,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR,SCF-PP,-16.3625,-48.9281,ANÁPOLIS,GO,BRASIL,****,2010-03-26,10:45:00,NULL,FINALIZADA,A-082/CENIPA/2011,SIM,2011-09-23,4,1,NÃO,2019-01-30,2010/03/26 10:45,2010/03/26 10:45
201109139472933,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,-23.1639,-51.9133,ÂNGULO,PR,BRASIL,****,2011-09-13,11:35:00,NULL,FINALIZADA,A-022/CENIPA/2013,SIM,2013-07-26,2,1,NÃO,2019-01-30,2011/09/13 11:35,2011/09/13 11:35
201110074966148,ACIDENTE,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,-6.2067,-35.2942,ARÊS,RN,BRASIL,****,2011-10-07,08:30:00,NULL,ATIVA,A-550/CENIPA/2016,NÃO,NULL,0,1,NÃO,2019-01-30,2011/10/07 08:30,2011/10/07 08:30
